candidate_no,presidential_candidate,party_initials,full_party_name,votes
8,Percival Kofi Akpaloo,LPG,Liberal Party of Ghana,505
9,David Asibi Ayindenaba Apasera,PNC,People's National Convention,579
10,Brigitte Akosua Dzogbenuku,PPP,Progressive People's Party,205
11,Nana Konadu Agyeman-Rawlings,NDP,National Democratic Party,322
12,Alfred Kwame Asiedu Walker,IC,Independent Candidate,322
1,Nana Addo Dankwa Akufo-Addo,NPP,New Patriotic Party,121230
2,John Dramani Mahama,NDC,National Democratic Congress,238972
3,Christian Kwabena Andrews,GUM,Ghana Union Movement,2240
4,Ivor Kobina Greenstreet,CPP,Convention People's Party,640
5,Akua Donkor,GFP,Ghana Freedom Party,360
6,Henry Herbert Lartey,GCPP,Great Consolidated Popular Party,354
7,Hassan Ayariga,APC,All People's Party,487
8,Percival Kofi Akpaloo,LPG,Liberal Party of Ghana,742
9,David Asibi Ayindenaba Apasera,PNC,People's National Convention,2794
10,Brigitte Akosua Dzogbenuku,PPP,Progressive People's Party,328
11,Nana Konadu Agyeman-Rawlings,NDP,National Democratic Party,406
12,Alfred Kwame Asiedu Walker,IC,Independent Candidate,1094
1,Nana Addo Dankwa Akufo-Addo,NPP,New Patriotic Party,292604
2,John Dramani Mahama,NDC,National Democratic Congress,203329
3,Christian Kwabena Andrews,GUM,Ghana Union Movement,4514
4,Ivor Kobina Greenstreet,CPP,Convention People's Party,338
5,Akua Donkor,GFP,Ghana Freedom Party,165
6,Henry Herbert Lartey,GCPP,Great Consolidated Popular Party,132
7,Hassan Ayariga,APC,All People's Party,255
8,Percival Kofi Akpaloo,LPG,Liberal Party of Ghana,216
9,David Asibi Ayindenaba Apasera,PNC,People's National Convention,209
10,Brigitte Akosua Dzogbenuku,PPP,Progressive People's Party,214
11,Nana Konadu Agyeman-Rawlings,NDP,National Democratic Party,235
12,Alfred Kwame Asiedu Walker,IC,Independent Candidate,374
1,Nana Addo Dankwa Akufo-Addo,NPP,New Patriotic Party,103865
2,John Dramani Mahama,NDC,National Democratic Congress,181021
3,Christian Kwabena Andrews,GUM,Ghana Union Movement,2459
4,Ivor Kobina Greenstreet,CPP,Convention People's Party,265
5,Akua Donkor,GFP,Ghana Freedom Party,200
6,Henry Herbert Lartey,GCPP,Great Consolidated Popular Party,97
7,Hassan Ayariga,APC,All People's Party,195
8,Percival Kofi Akpaloo,LPG,Liberal Party of Ghana,228
9,David Asibi Ayindenaba Apasera,PNC,People's National Convention,371
